BROKER,CALIBRE,SEMANA,CATE,CI_LO,CI_HI,N,N_TEMP,DIRECCION
SHOUYANG FRUIT,L,10,0.3059475994660943,0.2318187890520721,0.3800764098801165,14985,6,MEJOR
SHOUYANG FRUIT,L,11,-69.33424787597687,-87.67807846428806,-50.9904172861814,14985,6,PEOR
SHOUYANG FRUIT,L,12,-346.680808199686,-498.77298292476803,-194.58863347693594,14985,6,PEOR
SHOUYANG FRUIT,L,13,1.5059891280689044,0.5575125421839482,2.4544657139684123,14985,6,MEJOR
SHOUYANG FRUIT,L,14,-68.14969198222423,-347.033358416971,210.73397445301725,14985,6,INCIERTO
SHOUYANG FRUIT,L,15,-18.39955807819115,-40.53718242712381,3.738066270736052,14985,6,INCIERTO
SHOUYANG FRUIT,JDD,3,-0.19444028309953865,-0.3646779863394132,-0.02420257983056029,14985,6,PEOR
SHOUYANG FRUIT,JDD,4,0.017350973570101402,-0.27302684965634666,0.3077287967965476,14985,6,INCIERTO
SHOUYANG FRUIT,JDD,5,0.08741473379529552,0.004307052429493655,0.17052241516111336,14985,6,MEJOR
SHOUYANG FRUIT,JDD,6,0.28415280148801747,0.17402905819715528,0.39427654477887963,14985,6,MEJOR
SHOUYANG FRUIT,JDD,7,0.18650239104897892,0.11417649603822659,0.2588282860597268,14985,6,MEJOR
SHOUYANG FRUIT,JDD,8,-0.026577720142807237,-0.09892488657675999,0.04576944629114439,14985,6,INCIERTO
SHOUYANG FRUIT,JDD,9,0.2652541365854586,0.1609224859813324,0.36958578718812907,14985,6,MEJOR
SHOUYANG FRUIT,JDD,10,-0.1146798387454302,-0.22316825042737376,-0.0061914270634813445,14985,6,PEOR
SHOUYANG FRUIT,JDD,11,-0.2588101111257137,-0.35717552184290624,-0.16044470040899156,14985,6,PEOR
SHOUYANG FRUIT,JDD,12,0.23454516428703043,0.073236759164574,0.3958535694094575,14985,6,MEJOR
SHOUYANG FRUIT,JDD,13,0.0021398038075517434,-0.1739764332393176,0.17825604085441396,14985,6,INCIERTO
SHOUYANG FRUIT,JDD,14,-0.27346172424096116,-0.46901475092282685,-0.07790869755909266,14985,6,PEOR
SHOUYANG FRUIT,JDD,15,2638.1868948291167,2452.0344905316792,2824.339299101383,14985,6,MEJOR
SHOUYANG FRUIT,JD,3,-0.3066954069359866,-0.4736316288669972,-0.1397591850046528,14985,6,PEOR
SHOUYANG FRUIT,JD,4,-0.010205787647223241,-0.08392141804384695,0.06350984274939912,14985,6,INCIERTO
SHOUYANG FRUIT,JD,5,0.008344881218891237,-0.05025307502939801,0.0669428374671798,14985,6,INCIERTO
SHOUYANG FRUIT,JD,6,-0.12030849272244537,-0.16656329084241128,-0.07405369460247926,14985,6,PEOR
SHOUYANG FRUIT,JD,7,0.12603673566508267,0.08741201516038213,0.16466145616978276,14985,6,MEJOR
SHOUYANG FRUIT,JD,8,-0.09985068554724341,-0.1917871481601359,-0.00791422293435362,14985,6,PEOR
SHOUYANG FRUIT,JD,9,0.024341080759649747,-0.06995093794298593,0.11863309946228673,14985,6,INCIERTO
SHOUYANG FRUIT,JD,10,-0.34673288245437206,-0.4388230068603903,-0.2546427580483681,14985,6,PEOR
SHOUYANG FRUIT,JD,11,0.4522428175162936,0.3308093760256622,0.573676259006925,14985,6,MEJOR
SHOUYANG FRUIT,JD,12,0.6849994975864178,0.5635892121517128,0.8064097830210943,14985,6,MEJOR
SHOUYANG FRUIT,JD,13,-0.04937501312450558,-0.3044609859056003,0.2057109596565888,14985,6,INCIERTO
SHOUYANG FRUIT,JD,14,-0.24159625879110536,-0.536144587260371,0.052952069679979064,14985,6,INCIERTO
SHOUYANG FRUIT,JD,15,-843.5080742339724,-978.0409937323535,-708.9751546035872,14985,6,PEOR
SHOUYANG FRUIT,2JDD,3,0.14427886171324644,-0.07604390288721308,0.364601626299154,14985,6,INCIERTO
SHOUYANG FRUIT,2JDD,4,0.033995801409258786,-0.1444930964078651,0.21248469922639118,14985,6,INCIERTO
SHOUYANG FRUIT,2JDD,5,0.010391465707207281,-0.09997301943960178,0.12075595085401276,14985,6,INCIERTO
SHOUYANG FRUIT,2JDD,6,0.3808608244729257,0.2721363193582099,0.489585329587645,14985,6,MEJOR
SHOUYANG FRUIT,2JDD,7,0.18386160053779,0.10645805331091797,0.2612651477646602,14985,6,MEJOR
SHOUYANG FRUIT,2JDD,8,0.13136766260165877,0.06656977792705338,0.19616554727626445,14985,6,MEJOR
SHOUYANG FRUIT,2JDD,9,0.27518602444509677,0.17817195374003067,0.37220009526551323,14985,6,MEJOR
SHOUYANG FRUIT,2JDD,10,0.1379306284646269,0.061037118204364485,0.21482413872479159,14985,6,MEJOR
SHOUYANG FRUIT,2JDD,11,0.30925211646197104,0.22718956919063726,0.39131466373330526,14985,6,MEJOR
SHOUYANG FRUIT,2JDD,12,0.3384687783918987,0.09850568193033168,0.5784318748534664,14985,6,MEJOR
SHOUYANG FRUIT,2JDD,13,0.43569804704749515,0.2850780243550821,0.5863180697399082,14985,6,MEJOR
SHOUYANG FRUIT,2JDD,14,0.8529950831812698,0.679009171417412,1.0269809949451276,14985,6,MEJOR
SHOUYANG FRUIT,2JDD,15,-47.53027415889301,-55.6588916227587,-39.401656695167375,14985,6,PEOR
SHOUYANG FRUIT,XLD,3,0.12317135214171859,-0.07148873888702087,0.31783144317048817,14985,6,INCIERTO
SHOUYANG FRUIT,XLD,4,-0.0959873454697846,-0.15303348225041175,-0.038941208689155696,14985,6,PEOR
SHOUYANG FRUIT,XLD,5,-0.029061578285619838,-0.14338923579355775,0.08526607930638208,14985,6,INCIERTO
SHOUYANG FRUIT,XLD,6,0.15930336645037535,0.06956174469461428,0.2490449882058242,14985,6,MEJOR
SHOUYANG FRUIT,XLD,7,0.1871243125794848,0.12044451936761569,0.25380410579135215,14985,6,MEJOR
SHOUYANG FRUIT,XLD,8,0.05712446799965054,0.007119851331398114,0.10712908466790118,14985,6,MEJOR
SHOUYANG FRUIT,XLD,9,0.016461689126881063,-0.0766335239851697,0.10955690223942163,14985,6,INCIERTO
SHOUYANG FRUIT,XLD,10,0.28714546949709074,0.19889281213563578,0.3753981268592278,14985,6,MEJOR
SHOUYANG FRUIT,XLD,11,0.18950553968804318,0.12245694429514108,0.25655413508096214,14985,6,MEJOR
SHOUYANG FRUIT,XLD,12,0.4927524449303746,0.3660028826045175,0.619502007198024,14985,6,MEJOR
SHOUYANG FRUIT,XLD,13,0.006369054317474365,-0.06615102181761294,0.07888915280430345,14985,6,INCIERTO
SHOUYANG FRUIT,XLD,14,-9.29972121132414,-74.53039350511231,55.930951091888204,14985,6,INCIERTO
